antiquewhite4	blue	blue2	brown	coral1	cyan	darkgreen	darkmagenta	darkviolet	firebrick4	floralwhite	grey60	mediumpurple2	orangered3	pink	plum	plum2	skyblue	skyblue1	steelblue	thistle2
			KIAA1524			SLC45A4														
			PVRL3			PTP4A3														
			PLCXD2			TSNARE1														
			PHLDB2			ADGRB1														
			ABHD10			PSCA														
			C3orf52			LYNX1														
			SLC9C1			LY6D														
			ATG3			LY6E														
			SLC35A5			C8orf31														
			CD200R1			ZFP41														
			GTPBP8			GLI4														
			MIR8076			ZNF696														
			SPICE1			RHPN1-AS1														
			SIDT1			ZC3H3														
			MIR4446			GSDMD														
			NAA50			MROH6														
			ATP6V1A			EEF1D														
			QTRTD1			TIGD5														
			ZBTB20			PYCRL														
			ZBTB20-AS1			ZNF707														
			LOC101929754			FAM83H														
			MIR4796			MIR4664														
			ZBTB20-AS4			FAM83H-AS1														
			TUSC7			SCRIB														
			UPK1B			MIR937														
			B4GALT4			PLEC														
			B4GALT4-AS1			PARP10														
			ARHGAP31-AS1			GRINA														
			POGLUT1			OPLAH														
			TIMMDC1			GPAA1														
			CD80			SHARPIN														
			ADPRH			HGH1														
			PLA1A			MROH1														
			LRRC58			SCX														
			FSTL1			HSF1														
			MIR198			MIR6848														
			RABL3			SCRT1														
			GTF2E1			TMEM249														
			IQCB1			FBXL6														
			EAF2			SLC52A2														
			SLC15A2			CPSF1														
			CD86			MIR939														
			CCDC58			SLC39A4														
			WDR5B			TONSL														
			LOC102723582			TONSL-AS1														
			KPNA1			CYHR1														
			DTX3L			GPT														
			HSPBAP1			MFSD3														
			DIRC2			RECQL4														
			SEC22A			LRRC14														
			HACD2			LRRC24														
			KALRN			RPL8														
			ZNF148			MIR6850														
			SNX4			ZNF517														
			OSBPL11			WASH1														
			TXNRD3			RPS6														
			CNBP			CDKN2A														
			MBD4			B4GALT1														
			COL6A6			B4GALT1-AS1														
			PIK3R4			NOL6														
			ASTE1			FAM219A														
			LOC339874			ENHO														
			MRPL3			ARID3C														
			ACPP			DNAJB5														
			DNAJC13			FANCG														
			ACKR4			FAM214B														
			UBA5			RUSC2														
			TOPBP1			TESK1														
			ANAPC13			CA9														
			CEP63			TPM2														
			PPP2R3A			TLN1														
			MSL2			RGP1														
			STAG1			MSMP														
			SLC35G2			TMEM8B														
			NCK1-AS1			FBXO10														
			NCK1			SHB														
			DBR1			LOC102724238														
			ARMC8			LOC554249														
			CEP70			LOC103908605														
			PIK3CB			KGFLP1														
			MRPS22			FAM189A2														
			COPB2			RPSAP9														
			LOC100507291			GADD45G														
			PXYLP1			ROR2														
			ZBTB38			WNK2														
			GRK7			PHF2														
			ATP1B3			TBC1D2														
			XRN1			KLF4														
			ATR			ACTL7B														
			PLS1			FAM225A														
			SLC9A9			HDHD3														
			SLC9A9-AS1			RGS3														
			C3orf58			AKNA														
			PLOD2			PHF19														
			PLSCR4			GSN														
			PLSCR2			DAB2IP														
			PLSCR1			TTLL11														
			HLTF			CRB2														
			HLTF-AS1			DENND1A														
			CP			LOC100129034														
			TM4SF18			OLFML2A														
			TM4SF1			RPL35														
			WWTR1			MVB12B														
			COMMD2			LMX1B														
			RNF13			RPL12														
			SERP1			LRSAM1														
			EIF2A			FAM129B														
			SELT			MIR3911														
			GPR87			TOR2A														
			P2RY12			CDK9														
			AADACL2			FPGS														
			AADACL2-AS1			ENG														
			AADACP1			MIR4672														
			AADAC			ST6GALNAC6														
			MBNL1-AS1			ST6GALNAC4														
			MBNL1			PIP5KL1														
			TMEM14E			FAM102A														
			P2RY1			NAIF1														
			ARHGEF26			SLC25A25														
			C3orf33			C9orf16														
			SLC33A1			CIZ1														
			GMPS			SLC27A4														
			KCNAB1			URM1														
			SSR3			CERCAM														
			TIPARP			PKN3														
			PA2G4P4			ZDHHC12														
			VEPH1			ZER1														
			RSRC1			TBC1D13														
			GFM1			C9orf114														
			LXN			PHYHD1														
			MFSD1			SH3GLB2														
			IQCJ-SCHIP1			FAM73B														
			SCHIP1			DOLPP1														
			IL12A			CRAT														
			SMC4			PPP2R4														
			TRIM59			IER5L														
			B3GALNT1			LOC101929331														
			NMD3			LINC00963														
			SPTSSB			C9orf50														
			PDCD10			ASB6														
			SERPINI1			PRRX2														
			MECOM			PTGES														
			ACTRT3			USP20														
			MYNN			HMCN2														
			GPR160			ASS1														
			PRKCI			ABL1														
			EIF5A2			QRFP														
			TNIK			PRRC2B														
			PLD1			POMT1														
			FNDC3B			UCK1														
			TNFSF10			RAPGEF1														
			NCEH1			GTF3C5														
			ECT2			CEL														
			NLGN1			CELP														
			NAALADL2			RALGDS														
			NAALADL2-AS3			MED22														
			NAALADL2-AS2			RPL7A														
			MIR4789			SNORD24														
			NAALADL2-AS1			SURF2														
			TBL1XR1			REXO4														
			LINC00501			ADAMTS13														
			LINC00578			CACFD1														
			LINC01014			ADAMTSL2														
			KCNMB2-AS1			DBH-AS1														
			PIK3CA			VAV2														
			ZNF639			WDR5														
			GNB4			RXRA														
			ACTL6A			PPP1R26														
			MRPL47			LOC101928525														
			NDUFB5			KCNT1														
			TTC14			UBAC1														
			DNAJC19			NACC2														
			FLJ46066			C9orf69														
			ATP11B			GPSM1														
			DCUN1D1			DNLZ														
			MCCC1			SNAPC4														
			LAMP3			SDCCAG3														
			MCF2L2			SEC16A														
			LINC00888			NOTCH1														
			KLHL24			AGPAT2														
			VPS8			FAM69B														
			C3orf70			SNHG7														
			EHHADH-AS1			SNORA43														
			EHHADH			TMEM141														
			MAP3K13			CCDC183														
			LIPH			CCDC183-AS1														
			IGF2BP2-AS1			RABL6														
			TRA2B			MIR4292														
			LOC344887			C9orf172														
			TBCCD1			EDF1														
			RFC4			TRAF2														
			LPP-AS2			FBXW5														
			LPP			C9orf142														
			FLJ42393			ABCA2														
			LPP-AS1			NPDC1														
			TMEM207			ENTPD2														
			UTS2B			UAP1L1														
			FGF12			MAN1B1-AS1														
			MB21D2			MAN1B1														
			ATP13A5			DPP7														
			ATP13A5-AS1			GRIN1														
			ATP13A4			TMEM210														
			ATP13A4-AS1			ANAPC2														
			OPA1			SSNA1														
			OPA1-AS1			TPRN														
			TMEM44-AS1			NDOR1														
			LSG1			RNF208														
			ACAP2			RNF224														
			PPP1R2			NELFB														
			SDHAP2			TOR4A														
			TFRC			NRARP														
			UBXN7			EXD3														
			RNF168			NOXA1														
			WDR53			ENTPD8														
			FBXO45			NSMF														
			PIGX			PNPLA7														
			SENP5			MRPL41														
			NCBP2			ARRDC1														
			DLG1			PLCXD1														
			DLG1-AS1			GTPBP6														
			LOC220729			PPP2R3B														
			MIR922			CSF2RA														
			FYTTD1			SLC25A6														
			LRCH3			ASMTL-AS1														
			ANKRD18DP			ASMTL														
			ZNF595			DHRSX														
			ZNF718			ZBED1														
			ZNF732			CD99														
			ZNF141			ARSD														
			ABCA11P			SHROOM2														
			ZNF721			WWC3														
			LOC100129917			UBE2E4P														
			RNF212			SUPT20HL1														
			TMED11P			MID1IP1-AS1														
			SLBP			MID1IP1														
			POLN			RBM10														
			HAUS3			UBA1														
			HTT-AS			CDK16														
			TMEM128			ARAF														
			LYAR			ELK1														
			ZBTB49			SLC38A5														
			STX18			PORCN														
			STX18-AS1			TBC1D25														
			EVC2			SUV39H1														
			MRFAP1L1			HDAC6														
			GRPEL1			ERAS														
			MIR95			TIMM17B														
			SLC2A9			PQBP1														
			ZNF518B			SLC35A2														
			RAB28			OTUD5														
			MIR5091			TFE3														
			CPEB2-AS1			CCDC120														
			LOC101929095			PRAF2														
			FBXL5			MAGIX														
			FAM200B			PLP2														
			CD38			PRICKLE3														
			TAPT1			SYP														
			TAPT1-AS1			CCDC22														
			LAP3			FOXP3														
			NCAPG			PPP1R3F														
			LCORL			MAGED1														
			DHX15			KDM5C														
			SEPSECS			IQSEC2														
			SEPSECS-AS1			UQCRBP1														
			PI4K2B			AMER1														
			ZCCHC4			EFNB1														
			ANAPC4			FAM155B														
			SEL1L3			EDA														
			SMIM20			SNX12														
			RBPJ			FOXO4														
			TBC1D19			GJB1														
			STIM2			ZMYM3														
			ARAP2			RPS4X														
			LOC439933			CITED1														
			C4orf19			DMRTC1B														
			RELL1			DMRTC1														
			PGM2			FAM226B														
			PTTG2			FAM226A														
			KLF3-AS1			PGAM4														
			KLF3			XRCC6P5														
			FAM114A1			RPL36A														
			MIR574			ARMCX6														
			TMEM156			ARMCX2														
			KLHL5			BEX1														
			MIR1273H			FRMPD3														
			KLB			PRPS1														
			LIAS			TMEM164														
			UGDH			SLC25A5-AS1														
			SMIM14			CXorf56														
			PDS5A			SEPT6														
			LOC344967			RPL39														
			N4BP2			APLN														
			CHRNA9			ZDHHC9														
			RBM47			BCORL1														
			LIMCH1			ELF4														
			TMEM33			FAM127A														
			SLC30A9			SMIM10L2B														
			GUF1			SMIM10L2A														
			GNPDA2			LDOC1														
			COMMD8			CXorf40A														
			ATP10D			HSFX2														
			CORIN			HSFX1														
			LOC101927179			CXorf40B														
			NFXL1			CD99L2														
			NIPAL1			FATE1														
			TXK			HAUS7														
			TEC			BGN														
			SLAIN2			FAM58A														
			FRYL			LOC105373383														
			OCIAD1			DUSP9														
			DCUN1D4			SLC6A8														
			LRRC66			BCAP31														
			SGCB			ABCD1														
			LOC152578			SSR4														
			FIP1L1			PDZD4														
			LNX1			HCFC1														
			LNX1-AS1			TMEM187														
			LNX1-AS2			IRAK1														
			RPL21P44			EMD														
			CHIC2			RPL10														
			PDGFRA			SNORA70														
			KIT			DNASE1L1														
			SRD5A3			TAZ														
			SRD5A3-AS1			GDI1														
			TMEM165			UBL4A														
			CLOCK			FAM3A														
			PDCL2			G6PD														
			EXOC1			IKBKG														
			CEP135			H2AFB2														
			AASDH			H2AFB1														
			PPAT			H2AFB3														
			PAICS			F8A1														
			SRP72			F8A3														
			REST			F8A2														
			POLR2B			MIR1184-3														
			CENPC			MIR1184-2														
			STAP1			MIR1184-1														
			UBA6																	
			UGT2B15																	
			UGT2A3																	
			UGT2B4																	
			UGT2A1																	
			UGT2A2																	
			CSN2																	
			FDCSP																	
			CSN3																	
			GRSF1																	
			DCK																	
			ANKRD17																	
			RASSF6																	
			PF4V1																	
			CXCL1																	
			BTC																	
			LOC100507388																	
			RCHY1																	
			THAP6																	
			G3BP2																	
			USO1																	
			SDAD1																	
			NUP54																	
			SCARB2																	
			STBD1																	
			SEPT11																	
			CCNI																	
			MRPL1																	
			ANXA3																	
			LINC01094																	
			BMP2K																	
			PAQR3																	
			LINC01088																	
			BMP3																	
			PRKG2																	
			RASGEF1B																	
			ENOPH1																	
			TMEM150C																	
			SEC31A																	
			THAP9-AS1																	
			THAP9																	
			LIN54																	
			COPS4																	
			PLAC8																	
			COQ2																	
			HELQ																	
			MRPS18C																	
			FAM175A																	
			CDS1																	
			WDFY3-AS2																	
			ARHGAP24																	
			MIR4451																	
			MAPK10																	
			LOC101929064																	
			MIR4452																	
			PTPN13																	
			LOC100506746																	
			KLHL8																	
			HSD17B11																	
			NUDT9																	
			SPARCL1																	
			DMP1																	
			SPP1																	
			PKD2																	
			ABCG2																	
			PIGY																	
			PYURF																	
			HERC3																	
			NAP1L5																	
			TIGD2																	
			SNCA																	
			CCSER1																	
			SMARCAD1																	
			PDLIM5																	
			BMPR1B-AS1																	
			BMPR1B																	
			UNC5C																	
			STPG2																	
			RAP1GDS1																	
			EIF4E																	
			METAP1																	
			ADH4																	
			PCNAP1																	
			ADH1A																	
			ADH1B																	
			ADH7																	
			TRMT10A																	
			MTTP																	
			DAPP1																	
			LAMTOR3																	
			DNAJB14																	
			LOC101929353																	
			MIR8066																	
			BANK1																	
			SLC39A8																	
			NFKB1																	
			MANBA																	
			LOC102723704																	
			UBE2D3																	
			LOC105377348																	
			CISD2																	
			SLC9B1																	
			BDH2																	
			CENPE																	
			LOC101929468																	
			TET2																	
			TET2-AS1																	
			PPA2																	
			ARHGEF38																	
			ARHGEF38-IT1																	
			INTS12																	
			GSTCD																	
			LOC101929529																	
			NPNT																	
			TBCK																	
			AIMP1																	
			PAPSS1																	
			SGMS2																	
			LOC101929595																	
			CYP2U1																	
			RPL34-AS1																	
			OSTC																	
			COL25A1																	
			SEC24B-AS1																	
			SEC24B																	
			CCDC109B																	
			CASP6																	
			PLA2G12A																	
			CFI																	
			RRH																	
			EGF																	
			ELOVL6																	
			C4orf32																	
			AP1AR																	
			TIFA																	
			ALPK1																	
			ZGRF1																	
			LARP7																	
			MIR367																	
			MIR302D																	
			MIR302A																	
			ANK2																	
			CAMK2D																	
			ARSJ																	
			UGT8																	
			TRAM1L1																	
			NDST3																	
			METTL14																	
			SEC24D																	
			USP53																	
			C4orf3																	
			LOC645513																	
			PDE5A																	
			ANXA5																	
			EXOSC9																	
			CCNA2																	
			BBS7																	
			KIAA1109																	
			FGF2																	
			LOC101927087																	
			ANKRD50																	
			HSPA4L																	
			MFSD8																	
			C4orf29																	
			LARP1B																	
			PGRMC2																	
			JADE1																	
			C4orf33																	
			SLC7A11-AS1																	
			ELF2																	
			MGARP																	
			NAA15																	
			RAB33B																	
			SCOC																	
			ELMOD2																	
			RNF150																	
			ZNF330																	
			IL15																	
			INPP4B																	
			USP38																	
			SMARCA5																	
			SMARCA5-AS1																	
			GUSBP5																	
			FREM3																	
			GYPE																	
			HHIP																	
			ANAPC10																	
			ABCE1																	
			SMAD1																	
			SMAD1-AS2																	
			SMAD1-AS1																	
			MMAA																	
			SLC10A7																	
			TMEM184C																	
			PRMT9																	
			ARHGAP10																	
			SH3D19																	
			PRSS48																	
			FBXW7																	
			DEAR																	
			MIR3140																	
			DKFZP434I0714																	
			ARFIP1																	
			TRIM2																	
			KIAA0922																	
			PLRG1																	
			LOC102724776																	
			GUCY1A3																	
			GUCY1B3																	
			ASIC5																	
			TDO2																	
			CTSO																	
			GLRB																	
			FAM198B																	
			TMEM144																	
			C4orf46																	
			ETFDH																	
			PPID																	
			FNIP2																	
			TMA16																	
			MARCH1																	
			ANP32C																	
			LINC01207																	
			FAM218A																	
			KLHL2																	
			GK3P																	
			MSMO1																	
			TLL1																	
			ANXA10																	
			PALLD																	
			CBR4																	
			SH3RF1																	
			C4orf27																	
			MFAP3L																	
			LOC101928223																	
			GALNTL6																	
			GALNT7																	
			HMGB2																	
			SAP30																	
			SCRG1																	
			FBXO8																	
			CEP44																	
			HPGD																	
			AGA																	
			LINC01098																	
			WWC2-AS2																	
			WWC2																	
			CDKN2AIP																	
			LOC389247																	
			ING2																	
			RWDD4																	
			TRAPPC11																	
			STOX2																	
			ENPP6																	
			LOC728175																	
			LOC102723766																	
			IRF2																	
			LVCAT8																	
			CASP3																	
			PRIMPOL																	
			CENPU																	
			SLC25A4																	
			CFAP97																	
			SNX25																	
			UFSP2																	
			PDLIM3																	
			SORBS2																	
			TLR3																	
			CYP4V2																	
			F11-AS1																	
			MTNR1A																	
			FRG1																	
			CEP72																	
			LOC728613																	
			ADAMTS16																	
			FASTKD3																	
			MTRR																	
			MIR4458HG																	
			MIR4458																	
			CTD-2201E9.1																	
			FAM173B																	
			CCT5																	
			FAM105A																	
			FAM134B																	
			LOC101929524																	
			LOC285696																	
			GUSBP1																	
			C5orf17																	
			C5orf22																	
			PDZD2																	
			GOLPH3																	
			ZFR																	
			MIR579																	
			SUB1																	
			TARS																	
			AMACR																	
			C1QTNF3-AMACR																	
			RAI14																	
			RAD1																	
			BRIX1																	
			DNAJC21																	
			IL7R																	
			LMBRD2																	
			SKP2																	
			NADK2																	
			RANBP3L																	
			SLC1A3																	
			NIPBL																	
			C5orf42																	
			NUP155																	
			WDR70																	
			LIFR																	
			LIFR-AS1																	
			MIR3650																	
			OSMR																	
			RICTOR																	
			DAB2																	
			PTGER4																	
			TTC33																	
			PRKAA1																	
			CARD6																	
			OXCT1																	
			OXCT1-AS1																	
			C5orf51																	
			FBXO4																	
			GHR																	
			CCDC152																	
			SEPP1																	
			LOC153684																	
			LOC100132356																	
			LOC100506639																	
			ZNF131																	
			C5orf28																	
			C5orf34																	
			PAIP1																	
			NNT-AS1																	
			NNT																	
			EMB																	
			PARP8																	
			ISL1																	
			ITGA1																	
			ITGA2																	
			MOCS2																	
			NDUFS4																	
			ARL15																	
			GPX8																	
			DHX29																	
			SKIV2L2																	
			MIR5687																	
			SLC38A9																	
			DDX4																	
			IL6ST																	
			LOC102467147																	
			MAP3K1																	
			SETD9																	
			MIER3																	
			GPBP1																	
			PDE4D																	
			ELOVL7																	
			ERCC8																	
			SMIM15																	
			CTC-436P18.1																	
			KIF2A																	
			DIMT1																	
			IPO11																	
			LRRC70																	
			RNF180																	
			RGS7BP																	
			CWC27																	
			PPWD1																	
			TRIM23																	
			TRAPPC13																	
			SGTB																	
			NLN																	
			ERBB2IP																	
			LOC100303749																	
			MAST4																	
			LOC101928794																	
			CD180																	
			PIK3R1																	
			SLC30A5																	
			MRPS36																	
			CDK7																	
			AK6																	
			TAF9																	
			RAD17																	
			MARVELD2																	
			OCLN																	
			GTF2H2C_2																	
			LOC100272216																	
			SMA4																	
			BDP1																	
			MAP1B																	
			PTCD2																	
			ZNF366																	
			TNPO1																	
			MIR4804																	
			FCHO2																	
			ANKRA2																	
			UTP15																	
			ARHGEF28																	
			HEXB																	
			GFM2																	
			FAM169A																	
			LINC01336																	
			ANKRD31																	
			HMGCR																	
			COL4A3BP																	
			POLK																	
			POC5																	
			SV2C																	
			IQGAP2																	
			F2RL2																	
			F2R																	
			F2RL1																	
			AGGF1																	
			ZBED3																	
			ZBED3-AS1																	
			WDR41																	
			AP3B1																	
			SCAMP1																	
			LHFPL2																	
			ARSB																	
			BHMT																	
			HOMER1																	
			PAPD4																	
			CMYA5																	
			ZFYVE16																	
			FAM151B																	
			ANKRD34B																	
			MSH3																	
			RASGRF2																	
			CKMT2-AS1																	
			ZCCHC9																	
			SSBP2																	
			ATG10																	
			TMEM167A																	
			XRCC4																	
			MIR3607																	
			RASA1																	
			LOC644285																	
			CCNH																	
			TMEM161B																	
			TMEM161B-AS1																	
			MIR9-2																	
			CETN3																	
			LOC731157																	
			MBLAC2																	
			LYSMD3																	
			ADGRV1																	
			ARRDC3																	
			MIR548AO																	
			FAM172A																	
			MIR2277																	
			KIAA0825																	
			ANKRD32																	
			MCTP1																	
			TTC37																	
			ARSK																	
			RFESD																	
			SPATA9																	
			RHOBTB3																	
			GLRX																	
			ELL2																	
			LOC101929710																	
			PCSK1																	
			CAST																	
			LNPEP																	
			RIOK2																	
			LOC100289230																	
			ST8SIA4																	
			SLCO4C1																	
			SLCO6A1																	
			LINC00491																	
			PAM																	
			GIN1																	
			PPIP5K2																	
			C5orf30																	
			LOC102467212																	
			NUDT12																	
			EFNA5																	
			FER																	
			PJA2																	
			MAN2A1																	
			SLC25A46																	
			TSLP																	
			WDR36																	
			STARD4																	
			STARD4-AS1																	
			SNORA13																	
			EPB41L4A																	
			APC																	
			SRP19																	
			REEP5																	
			DCP2																	
			MCC																	
			YTHDC2																	
			KCNN2																	
			TRIM36																	
			PGGT1B																	
			CCDC112																	
			FEM1C																	
			TMED7-TICAM2																	
			TICAM2																	
			LOC101927100																	
			TMED7																	
			ATG12																	
			AP3S1																	
			COMMD10																	
			LOC101927190																	
			SEMA6A																	
			LINC00992																	
			DTWD2																	
			DMXL1																	
			TNFAIP8																	
			HSD17B4																	
			SRFBP1																	
			LOX																	
			SNX2																	
			SNX24																	
			PPIC																	
			CEP120																	
			CSNK1G3																	
			GRAMD3																	
			ALDH7A1																	
			PHAX																	
			MARCH3																	
			C5orf63																	
			PRRC1																	
			LINC01184																	
			SLC12A2																	
			ISOC1																	
			CDC42SE2																	
			RAPGEF6																	
			FNIP1																	
			MIR6830																	
			IL5																	
			RAD50																	
			LEAP2																	
			ZCCHC10																	
			HSPA4																	
			C5orf15																	
			SKP1																	
			PPP2CA																	
			MIR3661																	
			SAR1B																	
			SEC24A																	
			C5orf24																	
			CATSPER3																	
			SMAD5-AS1																	
			SMAD5																	
			SPOCK1																	
			MYOT																	
			BRD8																	
			CDC23																	
			ETF1																	
			HSPA9																	
			LRRTM2																	
			MATR3																	
			PAIP2																	
			DNAJC18																	
			LINC01024																	
			PURA																	
			SLC4A9																	
			ANKHD1-EIF4EBP3																	
			ANKHD1																	
			MIR6831																	
			MIR3655																	
			VTRNA1-3																	
			PCDHB19P																	
			TAF7																	
			PCDHGB8P																	
			LOC100505658																	
			RNF14																	
			NR3C1																	
			YIPF5																	
			PRELID2																	
			SH3RF2																	
			LARS																	
			RBM27																	
			TCERG1																	
			GPR151																	
			PPP2R2B																	
			JAKMIP2																	
			SPINK14																	
			LOC102546294																	
			FBXO38																	
			SH3TC2																	
			CSNK1A1																	
			MIR378A																	
			LOC644762																	
			SLC26A2																	
			TIGD6																	
			DCTN4																	
			ZNF300																	
			G3BP1																	
			FAM114A2																	
			MFAP3																	
			MIR1294																	
			SAP30L-AS1																	
			MIR1303																	
			MIR378H																	
			CNOT8																	
			GEMIN5																	
			MRPL22																	
			MED7																	
			THG1L																	
			CLINT1																	
			UBLCP1																	
			LOC285626																	
			TTC1																	
			PWWP2A																	
			ZBED8																	
			SLU7																	
			ATP10B																	
			GABRB2																	
			CCNG1																	
			NUDCD2																	
			MAT2B																	
			RARS																	
			PANK3																	
			SPDL1																	
			KCNIP1																	
			GABRP																	
			RANBP17																	
			UBTD2																	
			LINC01484																	
			LINC01485																	
			CPEB4																	
			SFXN1																	
			SIMC1																	
			FAF2																	
			UIMC1																	
			LOC202181																	
			GMCL1P1																	
			PHYKPL																	
			CLK4																	
			ZNF354A																	
			ZNF354B																	
			ZFP2																	
			ZNF454																	
			ZNF879																	
			ZNF354C																	
			CANX																	
			RNF130																	
			MAPK9																	
			ZFP62																	
			CTC-338M12.4																	
			TRIM52																	
			EXOC2																	
			LOC285768																	
			GMDS-AS1																	
			SERPINB9P1																	
			LINC01011																	
			BPHL																	
			FAM217A																	
			CDYL																	
			RPP40																	
			LOC100129461																	
			F13A1																	
			SSR1																	
			CAGE1																	
			RIOK1																	
			DSP																	
			EEF1E1-BLOC1S5																	
			BLOC1S5																	
			EEF1E1																	
			SCARNA27																	
			SLC35B3																	
			HULC																	
			GCNT2																	
			PAK1IP1																	
			NEDD9																	
			ADTRP																	
			LOC101928253																	
			HIVEP1																	
			GFOD1																	
			NOL7																	
			MYLIP																	
			MIR4639																	
			LOC101928491																	
			FAM8A1																	
			DEK																	
			RNF144B																	
			ID4																	
			CDKAL1																	
			SOX4																	
			CASC15																	
			MRS2																	
			GPLD1																	
			TDP2																	
			ACOT13																	
			C6orf62																	
			GMNN																	
			CMAHP																	
			TRIM38																	
			HIST1H4A																	
			BTN2A3P																	
			BTN2A1																	
			HCG11																	
			HMGN4																	
			ZNF184																	
			LINC01012																	
			HIST1H2AI																	
			HIST1H4J																	
			HIST1H2AK																	
			ZSCAN16-AS1																	
			ZSCAN16																	
			ZSCAN9																	
			ZKSCAN4																	
			NKAPL																	
			ZSCAN26																	
			ZSCAN31																	
			ZKSCAN3																	
			ZSCAN12																	
			HCG17																	
			HCG18																	
			TRIM39																	
			MIR4646																	
			SNORD52																	
			MIR6833																	
			LOC100294145																	
			NUDT3																	
			SRPK1																	
			SLC26A8																	
			MAPK14																	
			C6orf222																	
			KCTD20																	
			STK38																	
			SRSF3																	
			PANDAR																	
			PPIL1																	
			RNF8																	
			GLO1																	
			DNAH8																	
			OARD1																	
			NFYA																	
			MRPS10																	
			UBR2																	
			RPL7L1																	
			CDC5L																	
			SUPT3H																	
			RUNX2																	
			CLIC5																	
			ENPP4																	
			ENPP5																	
			RCAN2																	
			CYP39A1																	
			ADGRF1																	
			CD2AP																	
			ADGRF4																	
			MUT																	
			CENPQ																	
			C6orf141																	
			IL17A																	
			PAQR8																	
			TRAM2-AS1																	
			LOC730101																	
			GSTA5																	
			FBXO9																	
			ELOVL5																	
			RPS16P5																	
			KLHL31																	
			LRRC1																	
			LOC101927189																	
			DST																	
			BEND6																	
			KIAA1586																	
			ZNF451																	
			LOC101927211																	
			BAG2																	
			RAB23																	
			PRIM2																	
			GUSBP4																	
			PTP4A1																	
			PHF3																	
			EYS																	
			LMBRD1																	
			FAM135A																	
			SMAP1																	
			OGFRL1																	
			LINC00472																	
			RIMS1																	
			DDX43																	
			MB21D1																	
			MTO1																	
			LOC101928489																	
			TMEM30A																	
			LOC100506804																	
			SENP6																	
			MYO6																	
			MEI4																	
			PHIP																	
			SH3BGRL2																	
			BCKDHB																	
			FAM46A																	
			IBTK																	
			UBE3D																	
			DOPEY1																	
			PGM3																	
			RWDD2A																	
			ME1																	
			SNAP91																	
			CYB5R4																	
			CEP162																	
			NT5E																	
			SNX14																	
			ZNF292																	
			SMIM8																	
			C6orf163																	
			SLC35A1																	
			RARS2																	
			ORC3																	
			RNGTT																	
			PM20D2																	
			GABRR2																	
			UBE2J1																	
			LYRM2																	
			CASP8AP2																	
			BACH2																	
			MAP3K7																	
			MANEA-AS1																	
			MANEA																	
			FUT9																	
			UFL1																	
			GPR63																	
			NDUFAF4																	
			MIR548H3																	
			MMS22L																	
			FBXL4																	
			FAXC																	
			COQ3																	
			PNISR																	
			LOC101927365																	
			USP45																	
			TSTD3																	
			CCNC																	
			ASCC3																	
			GRIK2																	
			HACE1																	
			PREP																	
			ATG5																	
			QRSL1																	
			C6orf203																	
			SEC63																	
			OSTM1																	
			SNX3																	
			LACE1																	
			FOXO3																	
			SESN1																	
			CEP57L1																	
			CD164																	
			ZBTB24																	
			FIG4																	
			CDC40																	
			METTL24																	
			AMD1																	
			GTF3C6																	
			RPF2																	
			REV3L																	
			TRAF3IP2-AS1																	
			FYN																	
			TUBE1																	
			LOC101927686																	
			MARCKS																	
			HDAC2																	
			LOC101927768																	
			FRK																	
			NT5DC1																	
			COL10A1																	
			DSE																	
			RWDD1																	
			ZUFSP																	
			KPNA5																	
			DCBLD1																	
			GOPC																	
			CEP85L																	
			MCM9																	
			ASF1A																	
			MAN1A1																	
			TBC1D32																	
			HSF2																	
			SERINC1																	
			PKIB																	
			SMPDL3A																	
			NKAIN2																	
			RNF217-AS1																	
			RNF217																	
			LOC643623																	
			NCOA7																	
			NCOA7-AS1																	
			TRMT11																	
			RNF146																	
			ECHDC1																	
			SOGA3																	
			KIAA0408																	
			PTPRK																	
			LOC101928140																	
			EPB41L2																	
			AKAP7																	
			MED23																	
			STX7																	
			VNN1																	
			VNN3																	
			SLC18B1																	
			TARID																	
			TBPL1																	
			SLC2A12																	
			LINC01010																	
			HBS1L																	
			MIR3662																	
			AHI1																	
			LINC00271																	
			MTFR2																	
			BCLAF1																	
			MAP3K5																	
			LOC101928461																	
			IFNGR1																	
			PERP																	
			CCDC28A																	
			REPS1																	
			ABRACL																	
			VTA1																	
			ADGRG6																	
			HIVEP2																	
			LINC01277																	
			PEX3																	
			FUCA2																	
			LOC285740																	
			PHACTR2																	
			LTV1																	
			HYMAI																	
			UTRN																	
			EPM2A																	
			FBXO30																	
			SHPRH																	
			STXBP5-AS1																	
			STXBP5																	
			SASH1																	
			LOC100128176																	
			PPIL4																	
			GINM1																	
			RPS18P9																	
			KATNA1																	
			LATS1																	
			PCMT1																	
			LRP11																	
			RAET1E-AS1																	
			ULBP3																	
			PPP1R14C																	
			PLEKHG1																	
			AKAP12																	
			ZBTB2																	
			RMND1																	
			ARMT1																	
			FBXO5																	
			MTRF1L																	
			IPCEF1																	
			CNKSR3																	
			TIAM2																	
			TFB1M																	
			TMEM242																	
			SNX9																	
			SYNJ2-IT1																	
			SERAC1																	
			TULP4																	
			DYNLT1																	
			OSTCP1																	
			RSPH3																	
			WTAP																	
			LOC100129518																	
			ACAT2																	
			TCP1																	
			SNORA20																	
			SNORA29																	
			LOC729603																	
			MAP3K4																	
			AGPAT4-IT1																	
			PARK2																	
			QKI																	
			MPC1																	
